Counts: 	19779	19779	25	0	0	0	3	4779	903	1	4	0	0	12190	25	2	2	1	213	
Q27238	ADT1_ANOGA	Anopheles gambiae						Q27238;	Q27238;					7165.AGAP006782-PA;					SUBUNIT: Homodimer. {ECO:0000250}.	
Q7Q7R8	NPF_ANOGA	Anopheles gambiae																		
P84185	ACT5C_ANOGA	Anopheles gambiae						P84185;	P84185;					7165.AGAP000651-PA;						
Q7PWV1	AQP_ANOGA	Anopheles gambiae						Q7PWV1;	Q7PWV1;					7165.AGAP008842-PA;					SUBUNIT: Homotetramer. {ECO:0000250}.	
Q7Q5R7	CTLH1_ANOGA	Anopheles gambiae												7165.AGAP006244-PA;						
Q7PRJ0	CTLH2_ANOGA	Anopheles gambiae																		
Q7Q021	GLT25_ANOGA	Anopheles gambiae												7165.AGAP012208-PA;						
P52818	RL15_ANOGA	Anopheles gambiae						P52818;	P52818;					7165.AGAP004919-PA;						
P52813	RS3A_ANOGA	Anopheles gambiae												7165.AGAP003532-PA;					SUBUNIT: Component of the small ribosomal subunit. Mature ribosomes consist of a small (40S) and a large (60S) subunit. The 40S subunit contains about 33 different proteins and 1 molecule of RNA (18S). The 60S subunit contains about 49 different proteins and 3 molecules of RNA (28S, 5.8S and 5S). {ECO:0000255|HAMAP-Rule:MF_03122}.	
A0NGI1	TM234_ANOGA	Anopheles gambiae						A0NGI1;						7165.AGAP012180-PA;						
Q5TTP0	WDY_ANOGA	Anopheles gambiae						Q5TTP0;												
O76762	ABDA_ANOGA	Anopheles gambiae						O76762;	O76762;					7165.AGAP004662-PB;						
Q7Q2B7	CARM1_ANOGA	Anopheles gambiae						Q7Q2B7;						7165.AGAP003923-PA;					SUBUNIT: Homodimer. {ECO:0000269|PubMed:19472346}.	
Q17031	CDC42_ANOGA	Anopheles gambiae						Q17031;	Q17031;					7165.AGAP002440-PA;						
Q7PD79	GNAS_ANOGA	Anopheles gambiae						Q7PD79;	Q7PD79;					7165.AGAP012095-PA;					SUBUNIT: G proteins are composed of 3 units; alpha, beta and gamma. The alpha chain contains the guanine nucleotide binding site. {ECO:0000305}.	
O77473	GST1B_ANOGA	Anopheles gambiae						O77473;	O77473;					7165.AGAP004164-PC;					SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P30711}.	
O77462	GST1A_ANOGA	Anopheles gambiae						O77462;											SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P30711}.	
Q7PKS9	MTNA_ANOGA	Anopheles gambiae						Q7PKS9;						7165.AGAP001589-PA;						
Q5TYJ0	OBP71_ANOGA	Anopheles gambiae																		
A0NAZ8	OBP68_ANOGA	Anopheles gambiae																		
O61470	PSMD3_ANOGA	Anopheles gambiae						O61470;						7165.AGAP009082-PA;					SUBUNIT: The 26S proteasome is composed of a core protease, known as the 20S proteasome, capped at one or both ends by the 19S regulatory complex (RC). The RC is composed of at least 18 different subunits in two subcomplexes, the base and the lid, which form the portions proximal and distal to the 20S proteolytic core, respectively (By similarity). {ECO:0000250}.	
O44248	RL5_ANOGA	Anopheles gambiae							O44248;											
O76732	RL7A_ANOGA	Anopheles gambiae						O76732;	O76732;					7165.AGAP005960-PA;						
P52812	RS11_ANOGA	Anopheles gambiae												7165.AGAP009998-PA;						
P52811	RS13_ANOGA	Anopheles gambiae							P52811;					7165.AGAP005947-PA;						
Q9GT45	RS26_ANOGA	Anopheles gambiae												7165.AGAP012100-PA;						
O76757	SAHH_ANOGA	Anopheles gambiae						O76757;	O76757;					7165.AGAP000719-PA;						
Q7QDU4	STAT_ANOGA	Anopheles gambiae						Q7QDU4;						7165.AGAP010423-PA;					SUBUNIT: Forms a homodimer or a heterodimer with a related family member. {ECO:0000250|UniProtKB:P51692}.	
Q17029	VATF_ANOGA	Anopheles gambiae						Q17029;						7165.AGAP002473-PA;					SUBUNIT: V-ATPase is a heteromultimeric enzyme composed of a peripheral catalytic V1 complex (components A to H) attached to an integral membrane V0 proton pore complex (components: a, c, c', c'' and d). {ECO:0000250}.	
P34840	COX2_ANOGA	Anopheles gambiae						P34840;	P34840;											
P34842	COX3_ANOGA	Anopheles gambiae						P34842;	P34842;											
P34846	NU1M_ANOGA	Anopheles gambiae																		
P34848	NU2M_ANOGA	Anopheles gambiae																		
P34852	NU4M_ANOGA	Anopheles gambiae																		
Q7PKQ5	ACTN_ANOGA	Anopheles gambiae						Q7PKQ5;	Q7PKQ5;					7165.AGAP001497-PA;					SUBUNIT: Homodimer; antiparallel. {ECO:0000250}.	
Q7PQV7	ADT2_ANOGA	Anopheles gambiae						Q7PQV7;	Q7PQV7;					7165.AGAP002358-PA;					SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P02722}.	
Q7QIL2	ANM7_ANOGA	Anopheles gambiae						Q7QIL2;						7165.AGAP006938-PA;						
Q7QHW5	ARM_ANOGA	Anopheles gambiae						Q7QHW5;						7165.AGAP001043-PA;						
Q7PVX8	ARPC2_ANOGA	Anopheles gambiae						Q7PVX8;	Q7PVX8;					7165.AGAP009154-PA;					SUBUNIT: Component of the Arp2/3 complex. {ECO:0000250}.	
Q5TRE7	ASNA_ANOGA	Anopheles gambiae						Q5TRE7;						7165.AGAP005782-PA;					SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_03112}.	
Q7PR38	ASSY_ANOGA	Anopheles gambiae						Q7PR38;	Q7PR38;					7165.AGAP003015-PA;					SUBUNIT: Homotetramer. {ECO:0000250}.	
Q7PNM6	ATAT_ANOGA	Anopheles gambiae												7165.AGAP005828-PA;						
Q7PPU9	BND7A_ANOGA	Anopheles gambiae							Q7PPU9;					7165.AGAP004871-PA;						
Q7PTC5	BOP1_ANOGA	Anopheles gambiae						Q7PTC5;						7165.AGAP007128-PA;						
Q66Q82	BURS_ANOGA	Anopheles gambiae																	SUBUNIT: Heterodimer of burs and pburs. {ECO:0000250}.	
Q7QB13	CCNC_ANOGA	Anopheles gambiae						Q7QB13;						7165.AGAP004240-PA;					SUBUNIT: Component of the Cdk8 module of the Mediator complex. {ECO:0000250}.	
Q7PS24	CIAO1_ANOGA	Anopheles gambiae						Q7PS24;						7165.AGAP000444-PA;						
Q7QJW7	CLP1_ANOGA	Anopheles gambiae						Q7QJW7;						7165.AGAP007701-PA;						
Q7PZD5	CLU_ANOGA	Anopheles gambiae						Q7PZD5;						7165.AGAP011851-PA;						
Q7PVF6	COPG_ANOGA	Anopheles gambiae						Q7PVF6;						7165.AGAP009291-PA;					SUBUNIT: Oligomeric complex that consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits. {ECO:0000250|UniProtKB:P32074, ECO:0000250|UniProtKB:P53622}.	
Q7Q9J8	COQ4_ANOGA	Anopheles gambiae												7165.AGAP005199-PA;					SUBUNIT: Component of a multi-subunit COQ enzyme complex. {ECO:0000255|HAMAP-Rule:MF_03111}.	
A0NDK8	CORZ_ANOGA	Anopheles gambiae																		
Q7Q9I4	CTU1_ANOGA	Anopheles gambiae						Q7Q9I4;						7165.AGAP005220-PA;						
A0NEF7	CTU2_ANOGA	Anopheles gambiae												7165.AGAP005651-PA;						
Q7QIQ6	CUE_ANOGA	Anopheles gambiae												7165.AGAP007023-PA;						
Q7PK92	DAAF1_ANOGA	Anopheles gambiae												7165.AGAP009594-PA;						
Q7PZ25	DCTN2_ANOGA	Anopheles gambiae												7165.AGAP011690-PA;					SUBUNIT: Subunit of dynactin, a multiprotein complex associated with dynein. {ECO:0000250|UniProtKB:Q13561}.	
Q7Q732	DHRS7_ANOGA	Anopheles gambiae						Q7Q732;						7165.AGAP005532-PA;						
Q7PWQ6	DRE2_ANOGA	Anopheles gambiae												7165.AGAP008883-PA;					SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_03115}.	
Q7PN68	DRM_ANOGA	Anopheles gambiae						Q7PN68;						7165.AGAP007974-PA;						
Q7Q1K8	EFGM_ANOGA	Anopheles gambiae												7165.AGAP009737-PA;						
Q7PGE8	EIF3A_ANOGA	Anopheles gambiae												7165.AGAP002340-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03000}.	
Q7PZY1	EIF3B_ANOGA	Anopheles gambiae						Q7PZY1;						7165.AGAP012140-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03001}.	
Q7PMU8	EIF3C_ANOGA	Anopheles gambiae												7165.AGAP004725-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03002}.	
Q7QBW3	EIF3D_ANOGA	Anopheles gambiae												7165.AGAP002337-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03003}.	
Q7QIL8	EIF3E_ANOGA	Anopheles gambiae						Q7QIL8;						7165.AGAP006944-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03004}.	
Q7QD36	EIF3F_ANOGA	Anopheles gambiae												7165.AGAP002935-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03005}.	
Q7QJV0	EIF3G_ANOGA	Anopheles gambiae						Q7QJV0;						7165.AGAP007668-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03006}.	
Q7PVR3	EIF3H_ANOGA	Anopheles gambiae												7165.AGAP009204-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03007}.	
Q7PP77	EIF3I_ANOGA	Anopheles gambiae						Q7PP77;						7165.AGAP006607-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03008}.	
Q7Q566	EIF3J_ANOGA	Anopheles gambiae												7165.AGAP006613-PB;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03009}.	
Q7QGK4	EIF3K_ANOGA	Anopheles gambiae						Q7QGK4;						7165.AGAP011580-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03010}.	
Q7Q5Y8	EIF3L_ANOGA	Anopheles gambiae												7165.AGAP006130-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03011}.	
Q7Q068	EIF3M_ANOGA	Anopheles gambiae												7165.AGAP012281-PA;					SUBUNIT: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex. {ECO:0000255|HAMAP-Rule:MF_03012}.	
Q7Q9C0	ENOPH_ANOGA	Anopheles gambiae						Q7Q9C0;						7165.AGAP003331-PA;					SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_03117}.	
Q7PMT1	EXD_ANOGA	Anopheles gambiae						Q7PMT1;	Q7PMT1;					7165.AGAP004696-PA;						
Q7QGL9	FBSP1_ANOGA	Anopheles gambiae												7165.AGAP012460-PA;					SUBUNIT: Component of an E3 ubiquitin ligase complex composed of hiw and Fsn. {ECO:0000250|UniProtKB:Q9V6L9}.	
Q7Q323	FEN1_ANOGA	Anopheles gambiae						Q7Q323;	Q7Q323;					7165.AGAP011448-PA;					SUBUNIT: Interacts with PCNA. Three molecules of FEN1 bind to one PCNA trimer with each molecule binding to one PCNA monomer. PCNA stimulates the nuclease activity without altering cleavage specificity. {ECO:0000255|HAMAP-Rule:MF_03140}.	
Q7QH64	GATA_ANOGA	Anopheles gambiae												7165.AGAP004057-PA;					SUBUNIT: Subunit of the heterotrimeric GatCAB amidotransferase (AdT) complex, composed of A, B and C subunits. {ECO:0000255|HAMAP-Rule:MF_03150}.	
Q7Q161	GLYR1_ANOGA	Anopheles gambiae						Q7Q161;						7165.AGAP009949-PA;						
Q5TNH5	GNPI_ANOGA	Anopheles gambiae							Q5TNH5;					7165.AGAP009305-PB;					SUBUNIT: Homohexamer. {ECO:0000250}.	
Q7PMG3	GR22_ANOGA	Anopheles gambiae												7165.AGAP009999-PA;						
Q7PYF4	GR24_ANOGA	Anopheles gambiae												7165.AGAP001915-PA;						
Q7PWT9	HOOK_ANOGA	Anopheles gambiae						Q7PWT9;						7165.AGAP008854-PA;					SUBUNIT: Homodimer. Interacts with microtubules via its N-terminus (By similarity). {ECO:0000250}.	
Q7Q547	HOT_ANOGA	Anopheles gambiae						Q7Q547;						7165.AGAP006646-PA;						
Q7PT10	HSP83_ANOGA	Anopheles gambiae						Q7PT10;	Q7PT10;	1936241;				7165.AGAP006958-PA;					SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P08238}.	
Q7Q4F5	ITPA_ANOGA	Anopheles gambiae						Q7Q4F5;	Q7Q4F5;					7165.AGAP008374-PA;					SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_03148}.	
Q7QJX9	KAD2_ANOGA	Anopheles gambiae						Q7QJX9;	Q7QJX9;					7165.AGAP007722-PA;					SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_03168}.	
Q7PHR1	KIF1A_ANOGA	Anopheles gambiae							Q7PHR1;					7165.AGAP010519-PC;					SUBUNIT: Monomer. {ECO:0000250|UniProtKB:Q60575}.	
Q7QGL0	KLHDB_ANOGA	Anopheles gambiae												7165.AGAP011587-PA;						
Q7Q6A7	KMO_ANOGA	Anopheles gambiae						Q7Q6A7;						7165.AGAP005948-PA;						
Q7PMS9	LIG_ANOGA	Anopheles gambiae												7165.AGAP004817-PA;						
Q7QAJ2	LST2_ANOGA	Anopheles gambiae												7165.AGAP003678-PA;						
Q7Q6S8	MED14_ANOGA	Anopheles gambiae												7165.AGAP005700-PA;					SUBUNIT: Component of the Mediator complex. {ECO:0000250}.	
Q7QB45	MED22_ANOGA	Anopheles gambiae												7165.AGAP004191-PA;					SUBUNIT: Component of the Mediator complex. {ECO:0000250}.	
Q7QH62	MED4_ANOGA	Anopheles gambiae												7165.AGAP004063-PA;					SUBUNIT: Component of the Mediator complex. {ECO:0000250}.	
Q7Q107	MED6_ANOGA	Anopheles gambiae												7165.AGAP010034-PA;					SUBUNIT: Component of the Mediator complex. {ECO:0000250}.	
Q7PR68	MED7_ANOGA	Anopheles gambiae						Q7PR68;						7165.AGAP002823-PA;					SUBUNIT: Component of the Mediator complex. {ECO:0000250}.	
Q7Q6D6	MED8_ANOGA	Anopheles gambiae												7165.AGAP005909-PA;					SUBUNIT: Component of the Mediator complex. {ECO:0000250}.	
Q7QC84	MMSA_ANOGA	Anopheles gambiae						Q7QC84;						7165.AGAP002499-PA;					SUBUNIT: Homotetramer. {ECO:0000250|UniProtKB:Q02252}.	
Q5TT27	MOC2A_ANOGA	Anopheles gambiae						Q5TT27;						7165.AGAP004290-PA;					SUBUNIT: Heterotetramer; composed of 2 small (MOCS2A) and 2 large (MOCS2B) subunits. {ECO:0000255|HAMAP-Rule:MF_03051}.	
Q7QAD7	MOC2B_ANOGA	Anopheles gambiae												7165.AGAP013168-PA;					SUBUNIT: Heterotetramer; composed of 2 small (MOCS2A) and 2 large (MOCS2B) subunits. {ECO:0000255|HAMAP-Rule:MF_03052}.	
Q7QFL7	MOCOS_ANOGA	Anopheles gambiae						Q7QFL7;						7165.AGAP000555-PA;						
Q7PS12	MOEH_ANOGA	Anopheles gambiae												7165.AGAP000562-PC;					SUBUNIT: Interacts with cytoskeletal actin. {ECO:0000250}.	
Q7Q9N9	MTAP_ANOGA	Anopheles gambiae						Q7Q9N9;	Q7Q9N9;					7165.AGAP005129-PA;					SUBUNIT: Homotrimer. {ECO:0000255|HAMAP-Rule:MF_03155}.	
Q7PS09	MTNB_ANOGA	Anopheles gambiae						Q7PS09;						7165.AGAP000470-PA;						
Q7PYI4	NAA25_ANOGA	Anopheles gambiae												7165.AGAP001954-PA;					SUBUNIT: Component of the N-terminal acetyltransferase B (NatB) complex. {ECO:0000250}.	
Q7PWB8	NARF_ANOGA	Anopheles gambiae												7165.AGAP009023-PA;						
Q7QCB6	NCBP2_ANOGA	Anopheles gambiae						Q7QCB6;	Q7QCB6;					7165.AGAP002547-PA;					SUBUNIT: Component of the nuclear cap-binding complex (CBC), a heterodimer composed of Cbp80 and Cbp20 that interacts with m7GpppG-capped RNA. {ECO:0000250}.	
Q08AA9	NKD_ANOGA	Anopheles gambiae						Q08AA9;						7165.AGAP009925-PA;						
Q7Q0G5	NNRE_ANOGA	Anopheles gambiae												7165.AGAP003324-PA;						
Q7Q968	NTAQ1_ANOGA	Anopheles gambiae												7165.AGAP004865-PA;					SUBUNIT: Monomer. {ECO:0000250}.	
Q7PV10	NUBP1_ANOGA	Anopheles gambiae						Q7PV10;						7165.AGAP011997-PA;					SUBUNIT: Heterotetramer of 2 NUBP1 and 2 NUBP2 chains. {ECO:0000255|HAMAP-Rule:MF_03038}.	
Q7QGS3	NUBP2_ANOGA	Anopheles gambiae						Q7QGS3;						7165.AGAP010873-PA;					SUBUNIT: Heterotetramer of 2 NUBP1 and 2 NUBP2 chains. {ECO:0000255|HAMAP-Rule:MF_03039}.	
F5HK49	OBP69_ANOGA	Anopheles gambiae																		
Q7PTL2	PBAN_ANOGA	Anopheles gambiae												7165.AGAP002292-PA;						
Q7PZ66	PDE6D_ANOGA	Anopheles gambiae						Q7PZ66;	Q7PZ66;					7165.AGAP011756-PA;					SUBUNIT: Interacts with Pde6. {ECO:0000250|UniProtKB:Q9VLJ0}.	
Q7QIX1	PESC_ANOGA	Anopheles gambiae							Q7QIX1;					7165.AGAP007112-PA;						
Q7Q3N5	PORCN_ANOGA	Anopheles gambiae												7165.AGAP007962-PA;						
Q7QJT4	PRIC1_ANOGA	Anopheles gambiae												7165.AGAP007648-PA;					SUBUNIT: Interacts with dsh; PET and LIM domains interact with dsh DEP domain, in wing cells. Interacts with Vang in photoreceptor cells (By similarity). {ECO:0000250|UniProtKB:A1Z6W3}.	
Q7Q727	QTRD1_ANOGA	Anopheles gambiae												7165.AGAP005542-PA;						
Q7PWB1	RETM_ANOGA	Anopheles gambiae																		
A0NGY0	RL17_ANOGA	Anopheles gambiae												7165.AGAP001459-PA;						
Q7QJM5	RL18_ANOGA	Anopheles gambiae							Q7QJM5;					7165.AGAP007580-PA;						
Q9U9L2	RL8_ANOGA	Anopheles gambiae						Q9U9L2;	Q9U9L2;					7165.AGAP005802-PA;						
Q5TUE9	RM23_ANOGA	Anopheles gambiae						Q5TUE9;						7165.AGAP010338-PA;						
Q7PVQ9	RPB11_ANOGA	Anopheles gambiae						Q7PVQ9;						7165.AGAP009209-PA;					SUBUNIT: Component of the RNA polymerase II (Pol II) complex consisting of 12 subunits. {ECO:0000250}.	
Q7Q3I6	RRF2M_ANOGA	Anopheles gambiae																		
Q7QEH1	RS14A_ANOGA	Anopheles gambiae						Q7QEH1;	Q7QEH1;					7165.AGAP000655-PA;						
Q7PZ81	RSSA_ANOGA	Anopheles gambiae						Q7PZ81;	Q7PZ81;					7165.AGAP011777-PA;					SUBUNIT: Component of the small ribosomal subunit. Mature ribosomes consist of a small (40S) and a large (60S) subunit. The 40S subunit contains about 33 different proteins and 1 molecule of RNA (18S). The 60S subunit contains about 49 different proteins and 3 molecules of RNA (28S, 5.8S and 5S). Interacts with ribosomal protein S21. {ECO:0000255|HAMAP-Rule:MF_03015}.	
Q7Q412	RTCB_ANOGA	Anopheles gambiae						Q7Q412;						7165.AGAP008147-PA;					SUBUNIT: Catalytic component of the tRNA-splicing ligase complex. {ECO:0000255|HAMAP-Rule:MF_03144}.	
Q7QEI1	RTEL1_ANOGA	Anopheles gambiae												7165.AGAP000634-PA;						
A0NDG6	RUMI_ANOGA	Anopheles gambiae												7165.AGAP004267-PA;						
Q7Q5D4	S35B3_ANOGA	Anopheles gambiae												7165.AGAP006509-PA;						
Q7PXY4	SAP30_ANOGA	Anopheles gambiae												7165.AGAP001654-PA;					SUBUNIT: Component of the class 1 Sin3-histone deacetylase complex (HDAC). {ECO:0000250}.	
Q7PXG4	SGF11_ANOGA	Anopheles gambiae												7165.AGAP001393-PA;					SUBUNIT: Component of some SAGA transcription coactivator-HAT complexes. Within the SAGA complex, participates in a subcomplex of SAGA called the DUB module (deubiquitination module) (By similarity). {ECO:0000250}.	
Q7PXN1	SHAKB_ANOGA	Anopheles gambiae												7165.AGAP001487-PA;					SUBUNIT: Monomer. {ECO:0000250|UniProtKB:P33085}.	
Q5TXB2	SLX1_ANOGA	Anopheles gambiae						Q5TXB2;						7165.AGAP002259-PA;					SUBUNIT: Forms a heterodimer with a member of the SLX4 family. {ECO:0000255|HAMAP-Rule:MF_03100}.	
Q7QBW0	SPAST_ANOGA	Anopheles gambiae												7165.AGAP002334-PA;					SUBUNIT: Homohexamer. The homohexamer is stabilized by ATP-binding. The homohexamer may adopt a ring conformation through which microtubules pass prior to being severed. Interacts with microtubules. {ECO:0000255|HAMAP-Rule:MF_03021}.	
Q7QCW2	SPNE_ANOGA	Anopheles gambiae						Q7QCW2;						7165.AGAP002829-PA;						
